,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.57,0.31,0.88,0.56
n2cms.csv,0.38,0.51,0.9,0.61
nassp.csv,0.73,0.66,0.73,0.28
nug.csv,0.76,0.94,0.39,0.73
