,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.98,0.8,0.95,0.96,0.92,0.96,0.0,0.97,0.96,0.92,0.96,0.0,0.0,0.93,0.0,0.94,0.95
baadengine.csv,0.44,0.47,0.42,0.43,0.4,0.48,0.49,0.37,0.37,0.38,0.41,0.35,0.34,0.5,0.29,0.58,0.35
bibedt.csv,0.65,0.92,0.97,0.71,0.89,0.68,0.93,0.98,0.78,0.0,0.84,0.83,0.89,0.67,0.93,0.92,0.47
exl.csv,0.47,0.46,0.36,0.44,0.35,0.52,0.53,0.38,0.44,0.44,0.47,0.5,0.4,0.46,0.35,0.47,0.44
gdis.csv,0.42,0.46,0.34,0.4,0.38,0.46,0.54,0.35,0.36,0.42,0.44,0.31,0.34,0.4,0.35,0.45,0.4
gogoego.csv,0.88,0.9,0.93,0.71,0.82,0.9,0.49,0.83,0.89,0.92,0.94,0.75,0.59,0.83,0.91,0.5,0.47
httpcontentparser.csv,0.99,0.89,0.92,0.88,0.94,0.95,0.0,0.95,0.92,0.0,0.95,0.0,0.8,0.94,0.82,0.82,0.86
jaxlib.csv,0.91,0.67,0.67,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.5
jgameai.csv,0.98,0.5,0.81,0.94,0.8,0.84,0.93,0.89,0.97,0.92,0.97,0.5,0.5,0.83,0.92,0.74,0.92
jhotdraw.csv,0.98,0.67,0.88,0.92,0.48,0.92,0.0,0.98,0.98,0.0,0.94,0.86,0.8,0.67,0.92,0.91,0.8
loki-lib.csv,0.47,0.43,0.52,0.43,0.39,0.51,0.55,0.47,0.42,0.4,0.51,0.32,0.45,0.45,0.36,0.6,0.5
patterntesting.csv,0.63,0.38,0.48,0.44,0.43,0.52,0.5,0.45,0.42,0.55,0.48,0.36,0.42,0.58,0.41,0.68,0.45
pokeglobal.csv,0.5,0.53,0.41,0.47,0.46,0.5,0.76,0.4,0.35,0.52,0.74,0.29,0.81,0.62,0.34,0.6,0.0
werx.csv,0.41,0.36,0.36,0.41,0.4,0.48,0.54,0.36,0.36,0.44,0.45,0.3,0.39,0.4,0.36,0.44,0.48
xbg.csv,0.99,0.67,0.86,0.75,0.83,0.67,0.0,0.79,0.91,0.88,0.97,0.8,0.91,0.88,0.0,0.0,0.0
zealos.csv,0.57,0.57,0.45,0.61,0.45,0.6,0.64,0.66,0.63,0.85,0.62,0.6,0.86,0.68,0.5,0.66,0.43
