,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.54,0.67,0.51,0.0
neoengine.csv,0.02,0.51,0.54,0.55
omseek.csv,0.95,0.09,0.89,0.97
pcsx2.csv,0.52,0.51,0.02,0.69
