,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.67,0.62,0.64,1.0
neoengine.csv,0.98,0.69,0.59,0.61
omseek.csv,0.06,0.93,0.13,0.02
pcsx2.csv,0.57,0.6,0.99,0.43
