,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.46,0.61,0.37,0.0
neoengine.csv,0.02,0.43,0.33,0.38
omseek.csv,0.07,0.0,0.05,0.0
pcsx2.csv,0.25,0.28,0.02,0.31
