,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.63,0.18,0.39,0.99
jajuk.csv,0.98,0.42,0.46,0.75
vapor.csv,0.56,0.2,0.98,0.37
zorannt.csv,0.47,0.98,0.19,0.71
