,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.75,0.59,0.58,0.87,0.5,0.5,0.53,0.34,0.43,0.5,0.68,0.66,0.54,0.36,0.39
encog-cs.csv,0.66,0.51,0.46,0.25,0.42,0.27,0.32,0.51,0.67,0.11,0.31,0.39,0.53,0.54,0.68
extprosys.csv,0.73,0.0,0.64,0.63,0.29,0.55,0.44,0.34,0.27,0.09,0.73,0.54,0.43,0.61,0.43
ibatisdb.csv,0.97,0.35,0.51,0.14,0.36,0.23,0.21,0.29,0.37,0.45,0.58,0.12,0.07,0.78,0.19
intact.csv,0.75,0.0,0.57,0.62,0.61,0.64,0.5,0.49,0.71,0.13,0.69,0.47,0.59,0.54,0.41
japano.csv,0.0,0.0,0.6,0.26,0.59,0.52,0.0,0.74,0.3,0.49,0.25,0.37,0.38,0.52,0.67
lockss.csv,0.92,0.36,0.2,0.11,0.21,0.2,0.37,0.42,0.25,0.68,0.67,0.23,0.36,0.37,0.4
ofbiz.csv,0.0,0.57,0.21,0.5,0.44,0.55,0.48,0.46,0.61,0.36,0.66,0.34,0.72,0.39,0.51
officefloor.csv,0.89,0.24,0.46,0.55,0.29,0.58,0.04,0.43,0.5,0.27,0.63,0.06,0.27,0.53,0.41
opennms.csv,0.81,0.35,0.1,0.17,0.72,0.27,0.58,0.15,0.36,0.49,0.36,0.48,0.45,0.22,0.0
rohxel.csv,0.91,0.44,0.44,0.24,0.17,0.34,0.68,0.31,0.34,0.21,0.06,0.44,0.05,0.13,0.06
roolo.csv,0.0,0.58,0.49,0.56,0.53,0.52,0.44,0.34,0.51,0.41,0.41,0.68,0.55,0.52,0.52
sevenupdate.csv,0.0,0.75,0.0,0.0,0.17,0.0,0.0,0.0,0.24,0.38,0.05,0.0,0.21,0.0,0.0
web-cat.csv,0.47,0.52,0.17,0.27,0.34,0.58,0.32,0.34,0.27,0.52,0.47,0.47,0.62,0.52,0.76
