,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.33,0.5,0.4,0.62,0.52,0.76,0.69,0.9,0.77,0.53
cities3d.csv,0.0,0.77,0.2,0.59,0.13,0.68,0.38,0.0,0.23,0.78
firebird.csv,0.42,0.6,0.56,0.61,0.41,0.86,0.56,1.0,0.77,0.49
hydrogen.csv,0.92,1.0,1.0,1.0,1.0,0.97,0.81,0.0,1.0,1.0
lphant.csv,0.83,0.77,0.7,0.74,0.86,0.81,0.88,0.4,0.59,0.78
open-ms.csv,0.5,0.73,0.73,0.47,0.17,0.76,0.62,0.5,0.45,0.52
qgo.csv,0.92,0.87,0.84,0.67,0.51,0.92,0.75,0.8,0.91,0.82
rhex.csv,0.83,0.67,0.25,0.4,0.3,0.62,0.56,0.2,0.05,0.44
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
yield.csv,0.75,0.8,0.72,0.81,0.71,1.0,0.81,1.0,0.91,0.82
