,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.48,0.03,0.0,0.38,0.52,0.0,0.0,0.0,0.1,0.2,0.0,0.47,0.0,0.0,0.07,0.0,0.0
fontforge.csv,0.56,0.84,0.86,0.92,0.94,0.65,1.0,0.58,0.78,0.92,0.53,0.78,0.38,0.51,1.0,0.93,0.69,0.79
glas.csv,0.8,0.97,0.41,0.24,0.7,0.76,1.0,0.79,0.67,0.72,0.72,0.56,0.79,0.59,0.67,0.71,0.78,0.42
gmerlin.csv,0.0,0.9,0.76,1.0,0.0,0.83,1.0,0.0,1.0,0.0,0.94,1.0,1.0,1.0,1.0,0.0,0.31,0.38
hannosset.csv,0.05,0.03,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.04
hatari.csv,0.73,0.9,0.62,0.56,0.94,0.8,1.0,0.88,0.94,0.9,0.65,0.94,0.92,0.92,0.67,1.0,0.5,0.62
jaolt.csv,0.85,0.97,0.66,0.6,0.72,0.7,1.0,0.83,0.78,0.74,0.9,0.72,0.9,0.22,0.33,0.5,0.56,0.46
jcl.csv,0.51,0.26,0.52,0.04,0.57,0.32,0.0,0.08,0.06,0.1,0.26,0.0,0.03,0.0,0.33,0.29,0.06,0.0
ltp.csv,0.63,0.97,0.86,0.56,0.94,0.74,1.0,0.21,0.72,0.62,0.8,0.56,0.82,0.22,1.0,0.71,0.22,0.92
mia.csv,0.15,0.0,0.17,0.12,0.0,0.08,0.0,0.42,0.06,0.64,0.08,0.17,0.04,0.0,0.0,0.0,0.22,0.0
net-snmp.csv,0.61,0.39,0.52,0.6,0.53,0.47,1.0,1.0,0.94,0.31,0.61,0.89,0.51,0.7,0.5,0.14,0.38,0.21
opde.csv,1.0,0.52,1.0,0.36,1.0,0.67,1.0,0.08,0.56,0.0,0.59,1.0,0.7,0.0,0.5,0.57,0.31,0.25
oppna-program-hsatools.csv,0.95,0.81,0.86,1.0,0.98,0.67,1.0,0.92,0.94,1.0,0.94,1.0,0.96,0.51,0.5,1.0,0.75,0.92
powerfolder-.csv,0.98,0.52,0.83,1.0,0.92,0.24,1.0,0.33,1.0,0.74,0.69,1.0,0.36,0.51,0.5,0.93,0.66,0.46
qlc.csv,0.0,0.32,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.15,0.11,0.11,0.0,0.0,0.07,0.0,0.0
quantlib.csv,0.0,0.32,0.24,0.44,0.0,0.2,1.0,0.0,0.17,0.0,0.28,0.5,0.42,0.46,0.83,0.0,0.0,0.25
tcl.csv,0.76,1.0,0.93,1.0,0.83,0.97,1.0,0.0,1.0,0.67,0.94,0.89,1.0,1.0,0.83,0.0,0.28,0.88
