,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.44,1.0,0.0,0.67,0.64,0.0,0.0,0.0,0.5,1.0,0.0,0.81,0.0,0.0,1.0,0.0,0.0
fontforge.csv,0.37,0.35,0.43,0.34,0.71,0.49,0.02,0.7,0.15,0.51,0.88,0.1,0.8,0.54,0.09,0.12,0.37,0.19
glas.csv,0.5,0.32,0.57,0.3,0.65,0.46,0.04,0.46,0.2,0.56,0.82,0.08,0.75,0.58,0.09,0.14,0.36,0.18
gmerlin.csv,0.0,0.3,0.46,0.36,0.0,0.45,0.02,0.0,0.14,0.0,0.83,0.1,0.72,0.4,0.08,0.0,0.67,0.21
hannosset.csv,0.5,1.0,1.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,1.0
hatari.csv,0.42,0.33,0.69,0.32,0.69,0.48,0.03,0.44,0.13,0.51,0.89,0.1,0.73,0.45,0.08,0.12,0.31,0.24
jaolt.csv,0.55,0.34,0.7,0.34,0.74,0.5,0.04,0.43,0.22,0.5,0.91,0.08,0.78,0.5,0.08,0.12,0.35,0.23
jcl.csv,0.66,0.38,0.52,1.0,0.85,0.55,0.0,0.4,0.03,0.5,0.85,0.0,1.0,0.0,0.13,0.8,0.5,0.0
ltp.csv,0.44,0.31,0.45,0.5,0.76,0.45,0.02,0.62,0.17,0.59,0.88,0.16,0.71,0.5,0.08,0.18,0.26,0.21
mia.csv,0.67,0.0,0.71,0.19,0.2,0.5,0.0,0.59,0.06,0.51,0.9,1.0,0.75,0.0,0.0,0.0,0.58,0.0
net-snmp.csv,0.62,0.43,0.58,0.39,0.72,0.36,0.05,0.44,0.14,0.44,0.82,0.13,0.7,0.34,0.12,0.07,0.35,0.22
opde.csv,0.45,0.33,0.45,0.75,0.69,0.44,0.14,0.33,0.15,0.0,0.93,0.09,0.74,0.0,0.08,0.1,0.37,0.18
oppna-program-hsatools.csv,0.49,0.36,0.45,0.36,0.71,0.48,0.02,0.42,0.13,0.49,0.94,0.09,0.71,0.37,0.09,0.12,0.33,0.21
powerfolder-.csv,0.45,0.7,0.49,0.36,0.72,0.35,0.03,0.53,0.14,0.44,0.85,0.09,0.84,0.44,0.19,0.12,0.31,0.17
qlc.csv,0.0,0.38,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.94,0.67,0.89,0.0,0.0,0.04,0.0,0.0
quantlib.csv,0.0,0.32,1.0,0.29,0.0,0.45,0.03,0.0,0.14,0.0,0.91,0.27,0.74,0.49,0.1,0.0,0.0,0.6
tcl.csv,0.42,0.3,0.46,0.36,0.76,0.41,0.02,0.0,0.15,0.7,0.85,0.08,0.72,0.4,0.07,0.0,0.24,0.2
