,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.42,0.49,0.4,0.55,0.7,0.68,0.66,0.65,0.59,0.77,0.65,0.69
gdis.csv,0.82,0.62,0.48,0.6,0.51,0.55,0.72,0.71,0.24,1.09,0.78,0.78
kml.csv,0.45,0.98,0.8,0.56,0.31,0.9,0.92,0.98,0.43,0.97,0.94,1.0
ppcboot.csv,0.96,0.72,0.88,0.5,0.87,0.93,0.78,0.93,0.93,1.0,1.0,0.99
repositorium.csv,0.92,0.98,1.0,0.92,0.93,0.31,0.97,0.74,0.81,0.73,0.72,0.87
rsyslog.csv,0.35,0.78,0.47,0.76,0.64,0.84,0.62,0.66,0.47,0.98,0.59,1.0
simplewebservices.csv,1.0,0.89,0.98,1.0,0.95,0.99,0.92,0.51,0.85,0.61,0.54,0.49
ultimairis.csv,0.8,0.95,0.47,0.95,1.0,0.62,0.41,0.68,1.0,1.06,0.89,0.9
wow-qrsk.csv,0.92,0.6,0.3,0.84,0.89,1.0,0.98,0.88,1.0,0.36,0.97,0.88
wxstudio.csv,0.54,0.85,1.0,0.87,0.75,0.76,0.96,0.89,0.9,0.68,0.38,0.97
xbg.csv,0.81,1.0,0.93,0.6,0.91,0.91,0.71,0.38,0.98,1.12,0.89,0.77
xqilla.csv,0.96,0.96,0.83,0.91,0.95,0.91,0.87,0.83,0.89,0.06,0.72,0.85
