,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.69,0.63,0.7,0.54,0.36,0.4,0.61,0.51,0.5,0.36,0.43,0.54
gdis.csv,0.5,0.67,0.58,0.5,0.66,0.57,0.34,0.41,0.8,0.0,0.49,0.54
kml.csv,0.66,0.09,0.56,0.54,0.76,0.38,0.3,0.09,0.65,0.13,0.29,0.0
ppcboot.csv,0.17,0.66,0.4,0.63,0.42,0.27,0.57,0.27,0.3,0.0,0.0,0.05
repositorium.csv,0.1,0.02,0.01,0.1,0.17,0.8,0.05,0.49,0.29,0.65,0.41,0.4
rsyslog.csv,0.79,0.55,0.72,0.49,0.43,0.49,0.5,0.42,0.66,0.09,0.54,0.0
simplewebservices.csv,0.0,0.39,0.09,0.0,0.21,0.2,0.32,0.63,0.46,0.76,0.74,0.66
ultimairis.csv,0.55,0.21,0.76,0.21,0.0,0.48,0.67,0.66,0.0,0.0,0.42,0.38
wow-qrsk.csv,0.1,0.51,0.81,0.19,0.13,0.0,0.02,0.15,0.0,0.9,0.04,0.15
wxstudio.csv,0.62,0.21,0.33,0.43,0.47,0.56,0.36,0.14,0.42,0.38,0.73,0.04
xbg.csv,0.27,0.0,0.1,0.62,0.2,0.11,0.35,0.74,0.06,0.0,0.19,0.36
xqilla.csv,0.05,0.14,0.36,0.14,0.1,0.36,0.24,0.28,0.22,0.99,0.34,0.18
