,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.41,0.78,0.68,0.93,0.37,0.43,0.57,0.44,0.81,0.5,0.51,0.99,0.46,0.44,0.45,0.21
autat.csv,0.26,0.07,0.26,0.16,0.33,0.0,0.23,0.88,0.23,0.0,0.12,0.02,0.15,0.34,0.2,0.21
biopax.csv,0.9,1.0,0.91,0.7,0.74,0.9,0.8,1.0,1.0,1.0,0.89,1.0,0.99,0.95,0.85,0.96
exl.csv,0.59,0.85,0.35,0.16,0.44,0.48,0.57,0.56,1.0,0.75,0.4,0.21,0.39,0.98,0.6,0.42
fceugc.csv,0.39,0.41,0.38,0.34,0.14,0.95,0.34,0.12,0.23,0.25,0.3,0.41,0.23,0.54,0.2,0.0
fido.csv,0.0,0.07,0.03,0.02,0.06,0.05,0.11,0.0,0.0,1.0,0.12,0.0,0.01,0.34,0.0,0.0
gretl.csv,0.92,0.85,0.88,0.93,0.99,0.76,0.97,1.0,1.0,1.0,0.82,1.0,0.82,0.9,0.95,1.0
jasperreports.csv,0.11,0.04,0.03,0.0,0.02,0.0,0.09,0.0,0.92,0.0,0.04,0.0,0.82,0.0,0.75,0.04
jmule.csv,0.62,0.85,0.8,0.61,0.76,0.48,0.66,0.38,0.96,1.0,0.56,0.1,0.39,0.85,0.75,0.96
moast.csv,0.03,0.33,0.07,0.23,0.19,0.0,0.34,0.0,0.5,0.5,0.0,0.99,0.17,0.0,0.25,0.0
ng4j.csv,0.39,0.96,0.74,0.61,0.69,0.52,0.11,0.62,0.65,0.0,0.46,0.01,0.51,0.71,1.0,0.58
olap-navigator.csv,0.98,0.89,0.86,0.84,0.67,0.62,0.71,0.94,1.0,1.0,0.72,0.99,0.79,0.88,0.8,0.96
passwordsafe.csv,0.49,0.93,0.78,0.61,0.47,0.48,0.74,0.62,0.88,1.0,0.89,0.99,0.46,0.76,0.55,0.17
phonon-vlc-mplayer.csv,0.48,0.74,1.0,0.64,0.65,0.52,0.69,0.25,0.88,0.75,0.54,0.99,0.58,0.73,0.65,0.5
sepgsql.csv,0.23,0.85,0.49,0.25,0.32,0.38,0.23,0.06,0.27,0.0,0.25,0.02,0.38,0.1,0.3,0.29
unflobtactical.csv,0.67,0.7,0.62,0.5,0.35,0.52,0.97,0.56,0.69,0.25,0.53,0.98,0.61,0.71,0.6,0.25
