,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.36,0.31,0.41,1.0,0.3,0.01,0.53,0.06,0.49,0.31,0.46,0.51,0.52,0.74,0.53
aufs.csv,0.39,0.33,0.43,0.44,0.41,0.14,0.41,0.1,0.97,0.29,0.53,0.3,0.47,0.47,0.2
bulmages.csv,0.12,0.03,0.24,0.04,0.09,0.0,0.11,0.06,0.0,0.95,0.21,0.05,0.51,0.03,0.09
coot.csv,0.41,0.35,0.32,0.35,0.18,0.12,0.38,0.08,0.17,0.3,0.44,0.28,0.99,0.49,0.52
emono.csv,0.28,0.38,0.42,0.74,0.32,0.09,0.62,0.06,0.45,0.39,0.53,0.55,0.55,0.76,0.99
extprosys.csv,0.39,0.94,0.48,0.76,0.32,0.09,0.78,0.05,0.33,0.35,0.65,0.57,0.65,0.84,0.37
freelords.csv,0.26,0.37,0.52,0.49,0.23,0.02,0.99,0.06,0.0,0.33,0.54,0.41,0.67,0.75,0.71
jnode.csv,0.0,0.0,0.0,0.04,0.09,1.0,0.02,0.0,0.0,0.0,0.03,0.0,0.05,0.0,0.0
jruby.csv,0.4,0.38,0.45,0.79,0.35,0.11,0.21,0.06,0.48,0.29,0.59,0.55,0.62,1.0,0.7
jsecurity.csv,0.4,0.29,0.05,0.2,0.95,0.17,0.35,0.1,0.17,0.41,0.24,0.2,0.6,0.26,0.54
matrex.csv,0.3,0.21,0.19,0.54,0.21,0.06,0.3,0.09,0.19,0.29,0.99,0.46,0.38,0.28,0.05
officefloor.csv,0.0,0.31,0.38,0.69,0.0,0.03,0.11,0.88,0.27,0.19,0.29,0.54,0.17,0.7,0.23
projectfactory.csv,0.36,0.37,0.44,0.24,0.46,0.09,0.28,0.09,0.39,0.24,0.21,0.95,0.2,0.42,0.54
taverna.csv,0.23,0.19,0.98,0.12,0.16,0.16,0.35,0.03,0.0,0.36,0.25,0.26,0.56,0.32,0.25
vxl.csv,0.96,0.07,0.2,0.4,0.22,0.05,0.22,0.05,0.2,0.26,0.19,0.28,0.48,0.22,0.18
