,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.7,0.0,0.31,0.61
emftriple.csv,0.22,0.54,0.04,0.33
fluent-nhibernate.csv,0.76,0.0,0.49,0.45
gpsmid.csv,0.81,0.05,0.33,0.49
