,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.24,0.36,0.45,0.4,0.76,0.21,0.58,1.0,0.22,0.44,0.37,0.26,0.37
bscwweasel.csv,0.02,0.21,0.11,0.9,0.33,0.0,0.08,0.24,0.11,0.06,0.11,0.0,0.11
capcode.csv,0.0,0.14,0.09,0.15,0.05,0.11,0.83,0.0,0.16,0.0,0.15,0.26,0.0
emite.csv,0.77,0.14,0.18,0.3,0.24,0.23,0.0,0.24,0.25,0.44,0.22,0.87,0.4
extprosys.csv,0.87,0.29,0.59,0.9,0.81,0.94,0.75,0.78,0.56,0.25,0.33,0.87,0.49
lamp.csv,0.01,0.93,0.09,0.2,0.19,0.04,0.25,0.05,0.11,0.06,0.26,0.0,0.14
retromenu.csv,0.02,0.14,0.36,0.1,1.0,0.0,0.42,0.05,0.13,0.0,0.22,0.06,0.17
smbopensoft.csv,0.96,0.5,0.66,0.25,0.9,0.21,0.58,0.35,0.33,0.56,0.74,0.19,0.49
snakeyaml.csv,0.42,0.5,0.5,0.65,0.62,0.81,0.75,0.76,0.65,0.31,0.96,0.55,0.94
stuproa-cims.csv,0.98,0.71,0.93,0.7,1.0,0.89,0.83,1.0,0.98,0.94,0.81,0.65,0.94
ta3d.csv,0.7,0.86,0.91,0.8,1.0,0.74,0.83,0.89,0.91,0.94,0.85,0.74,0.97
thout.csv,0.0,0.29,0.91,0.35,0.52,0.62,0.33,0.73,0.16,0.12,0.37,0.23,0.31
vrjuggler.csv,0.29,0.43,0.36,0.6,0.43,0.02,0.42,0.03,0.47,0.94,0.59,0.32,0.03
