,adaptagrams.csv,go.csv,bibedt.csv,moving-pictures.csv,libmesh.csv,glelite.csv,fulguro.csv
adaptagrams.csv,0.97,0.27,0.0,0.17,0.05,0.12,0.0
bibedt.csv,0.57,0.48,0.92,0.54,0.31,0.33,0.58
fulguro.csv,0.27,0.07,0.53,0.22,0.18,0.38,0.93
glelite.csv,0.0,0.17,0.0,0.0,0.09,1.0,0.21
go.csv,0.57,0.97,0.71,0.63,0.57,0.55,0.6
libmesh.csv,0.4,0.07,0.64,0.34,0.91,0.08,0.47
moving-pictures.csv,0.41,0.43,0.72,0.94,0.55,0.58,0.72
