,adaptagrams.csv,go.csv,bibedt.csv,moving-pictures.csv,libmesh.csv,glelite.csv,fulguro.csv
adaptagrams.csv,0.96,0.23,0.0,0.14,0.04,0.1,0.0
bibedt.csv,0.54,0.43,0.9,0.54,0.27,0.28,0.64
fulguro.csv,0.23,0.06,0.5,0.18,0.15,0.39,0.91
glelite.csv,1.0,1.0,1.0,1.0,0.96,1.0,1.0
go.csv,1.0,0.97,0.9,0.64,0.58,0.53,0.91
libmesh.csv,0.35,0.06,0.6,0.32,0.92,0.07,0.45
moving-pictures.csv,0.42,0.39,0.8,0.93,0.58,0.52,0.82
