,logicmail.csv,taverna.csv,javagroups.csv,jrefactory.csv,freenet.csv,nodal.csv,soar.csv,web-cat.csv
freenet.csv,0.44,0.84,0.7,0.77,0.01,0.66,1.0,0.86
javagroups.csv,0.75,0.87,0.02,0.8,0.67,0.69,0.81,0.94
jrefactory.csv,0.85,0.75,0.72,0.03,0.54,0.71,0.78,0.84
logicmail.csv,0.1,0.68,0.79,0.75,0.63,0.76,0.9,0.73
nodal.csv,0.42,0.92,0.75,0.76,0.73,0.13,0.78,0.65
soar.csv,0.65,0.7,0.64,0.78,0.73,0.85,0.03,0.88
taverna.csv,1.01,0.04,0.9,0.74,0.86,0.89,0.89,0.86
web-cat.csv,0.73,0.64,0.72,0.69,0.79,0.85,1.0,0.11
