,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.31,0.4,0.82,0.19,0.17,0.15,0.58,0.46,0.47,0.22,0.9,0.77,0.52,0.44,0.68,0.58
customsagetv.csv,0.6,0.68,0.0,0.67,0.13,0.1,0.62,0.33,0.1,0.43,0.87,1.0,0.66,0.5,0.75,0.9
fluidium.csv,1.0,0.83,0.0,0.25,0.0,0.18,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.48,0.0,0.5
guineu.csv,0.54,0.34,0.79,0.14,0.17,0.15,0.53,0.43,0.13,0.19,0.94,0.73,0.34,0.42,0.67,0.75
inkscape.csv,0.31,0.47,0.79,0.17,0.22,0.21,0.79,0.41,0.17,0.29,0.86,0.76,0.49,0.44,0.62,0.57
mpqc.csv,0.22,0.19,0.67,0.0,0.1,0.28,0.43,0.38,0.11,0.2,0.92,0.62,0.34,0.42,0.59,0.46
nsis.csv,0.28,0.35,0.84,0.13,0.12,0.22,0.55,0.32,0.18,0.24,0.98,0.83,0.52,0.29,0.63,0.75
octave.csv,0.31,0.43,1.0,0.11,0.31,0.14,0.79,0.39,0.05,0.21,0.81,0.76,0.33,0.44,0.75,0.33
owfs.csv,0.33,0.41,0.85,0.24,0.17,0.11,0.73,0.42,0.26,0.28,0.87,0.81,0.62,0.39,0.62,0.5
owlib.csv,0.34,0.61,0.96,0.2,0.25,0.07,0.64,0.53,0.39,0.31,0.9,0.82,0.61,0.46,0.62,0.52
pamguard.csv,0.3,0.41,0.96,0.23,0.31,0.14,0.65,0.49,0.37,0.3,0.9,1.0,0.56,0.67,0.77,0.12
prelude.csv,0.3,0.4,0.97,0.2,0.18,0.14,0.59,0.47,0.22,0.27,0.88,0.83,0.51,0.48,0.64,0.59
robocode.csv,0.4,0.52,0.0,0.38,0.24,0.13,0.72,0.7,0.23,0.39,0.91,0.82,0.51,0.48,0.67,0.58
uwom-server.csv,0.38,0.4,1.0,0.16,0.28,0.13,0.71,0.47,0.28,0.38,0.9,0.81,0.45,0.46,0.59,0.53
zengine.csv,0.31,0.4,0.87,0.16,0.18,0.16,0.57,0.45,0.2,0.25,0.92,1.0,0.51,0.27,0.64,0.58
zildo.csv,0.43,0.44,0.96,0.17,0.27,0.12,0.63,0.73,0.33,0.29,0.86,0.91,0.75,0.43,0.65,0.79
