,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.27,0.38,0.32,0.35,0.31,0.38,0.35,0.27,0.35,0.37,0.29,0.43,0.35,0.3,0.32
e-bio-flow.csv,0.16,0.31,0.19,0.3,0.22,0.12,0.15,0.18,0.36,0.15,0.26,0.12,0.12,0.4,0.15
emono.csv,0.39,0.42,0.36,0.4,0.44,0.36,0.29,0.39,0.4,0.48,0.24,0.33,0.41,0.29,0.35
jas.csv,0.27,0.34,0.26,0.26,0.36,0.28,0.19,0.28,0.29,0.45,0.31,0.29,0.15,0.34,0.21
jbpm.csv,0.13,0.37,0.35,0.16,0.41,0.29,0.31,0.27,0.4,0.15,0.37,0.45,0.31,0.43,0.33
jgossipforum.csv,0.27,0.17,0.29,0.21,0.15,0.25,0.16,0.2,0.21,0.28,0.27,0.19,0.37,0.16,0.23
jmonkeyengine.csv,0.35,0.3,0.22,0.28,0.38,0.32,0.26,0.28,0.33,0.28,0.34,0.36,0.4,0.4,0.29
joustsim.csv,0.25,0.35,0.17,0.21,0.31,0.33,0.24,0.2,0.19,0.17,0.33,0.32,0.18,0.26,0.24
log4net.csv,0.2,0.21,0.19,0.15,0.19,0.13,0.31,0.22,0.39,0.13,0.15,0.2,0.11,0.2,0.18
ngl.csv,0.28,0.3,0.31,0.34,0.38,0.35,0.19,0.23,0.29,0.14,0.35,0.26,0.3,0.29,0.36
piccolo2d.csv,0.22,0.14,0.18,0.19,0.13,0.11,0.15,0.2,0.39,0.13,0.29,0.15,0.32,0.11,0.15
pustefix.csv,0.16,0.29,0.29,0.28,0.29,0.22,0.24,0.22,0.24,0.13,0.23,0.29,0.42,0.3,0.24
reaper3d.csv,0.32,0.23,0.2,0.32,0.28,0.33,0.19,0.29,0.34,0.3,0.19,0.14,0.18,0.16,0.35
sblim.csv,0.3,0.19,0.28,0.21,0.14,0.21,0.19,0.27,0.32,0.15,0.18,0.39,0.19,0.41,0.24
thedata.csv,0.37,0.4,0.36,0.39,0.46,0.34,0.26,0.37,0.36,0.41,0.29,0.24,0.34,0.29,0.24
