,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.52,1.07,0.95,0.86,0.7,0.94,0.97,0.73,0.72,0.7,0.75,0.94,0.77,0.74,0.89
e-bio-flow.csv,0.76,0.81,0.48,0.69,0.6,0.79,0.57,0.44,0.8,0.64,0.72,0.76,0.76,0.98,0.82
emono.csv,0.91,0.88,0.91,0.95,0.66,0.89,0.75,0.77,0.97,1.02,0.65,0.74,0.97,0.48,0.63
jas.csv,0.71,0.6,0.94,0.52,0.92,0.53,0.51,0.67,0.63,0.82,0.77,0.58,0.31,0.89,1.03
jbpm.csv,0.9,0.96,1.0,0.28,1.0,0.91,0.89,0.84,1.0,0.92,1.0,0.99,1.0,1.0,1.0
jgossipforum.csv,0.81,0.52,0.85,0.87,0.7,0.59,0.81,0.7,0.08,0.64,0.64,0.52,1.0,0.69,0.52
jmonkeyengine.csv,0.91,0.48,1.04,0.46,0.92,0.51,0.39,0.8,0.82,0.79,0.75,0.67,0.87,0.97,0.89
joustsim.csv,0.83,0.84,0.73,0.49,0.82,0.74,0.61,0.74,0.27,0.2,0.82,0.57,0.4,0.68,0.27
log4net.csv,0.61,0.78,0.48,0.77,0.13,0.88,1.0,0.65,1.0,0.39,0.64,0.84,1.01,0.68,0.88
ngl.csv,0.72,0.58,0.8,0.76,0.85,0.9,0.55,0.61,0.62,0.47,0.92,0.46,0.6,0.76,0.95
piccolo2d.csv,0.77,0.55,0.3,0.56,0.38,0.92,0.7,0.59,1.0,0.54,0.88,0.64,1.0,0.81,0.8
pustefix.csv,0.84,0.66,0.71,0.63,0.65,0.5,0.62,0.69,0.88,0.74,0.86,0.65,1.04,0.59,0.67
reaper3d.csv,0.85,0.37,0.95,0.92,0.78,0.93,0.87,0.68,0.65,0.82,0.45,0.71,0.53,0.72,0.75
sblim.csv,0.77,0.21,0.61,0.58,0.4,0.64,0.72,0.87,0.74,0.43,0.72,0.76,0.5,1.0,0.6
thedata.csv,0.83,0.77,0.88,0.95,0.94,0.79,0.75,0.86,0.73,0.67,0.77,0.58,0.67,0.66,0.1
