,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.0,56.0,26.0,1.0,31.0,4.0,0.0,1.0,113.0,21.0,40.0,0.0,47.0,0.0,6.0
e-bio-flow.csv,3.0,42.0,11.0,11.0,27.0,2.0,2.0,0.0,7.0,1.0,26.0,0.0,3.0,0.0,21.0
emono.csv,5.0,0.0,33.0,1.0,54.0,4.0,1.0,1.0,161.0,34.0,18.0,0.0,10.0,0.0,10.0
jas.csv,5.0,0.0,10.0,1.0,63.0,0.0,0.0,0.0,89.0,0.0,32.0,0.0,5.0,3.0,65.0
jbpm.csv,4.0,3.0,94.0,0.0,133.0,0.0,0.0,3.0,224.0,7.0,107.0,0.0,124.0,121.0,65.0
jgossipforum.csv,11.0,13.0,4.0,16.0,14.0,0.0,4.0,1.0,4.0,1.0,7.0,0.0,124.0,3.0,0.0
jmonkeyengine.csv,11.0,0.0,94.0,1.0,65.0,3.0,0.0,2.0,105.0,13.0,15.0,0.0,10.0,0.0,9.0
joustsim.csv,4.0,16.0,10.0,0.0,45.0,2.0,0.0,3.0,25.0,1.0,14.0,0.0,0.0,3.0,6.0
log4net.csv,1.0,2.0,6.0,9.0,5.0,2.0,67.0,5.0,224.0,3.0,11.0,0.0,124.0,0.0,29.0
ngl.csv,7.0,0.0,23.0,1.0,38.0,2.0,0.0,1.0,88.0,6.0,15.0,0.0,31.0,0.0,10.0
piccolo2d.csv,6.0,6.0,5.0,10.0,1.0,1.0,4.0,2.0,224.0,8.0,1.0,0.0,124.0,1.0,17.0
pustefix.csv,1.0,0.0,20.0,1.0,39.0,0.0,0.0,4.0,75.0,1.0,25.0,1.0,10.0,0.0,6.0
reaper3d.csv,3.0,0.0,6.0,1.0,23.0,3.0,0.0,1.0,99.0,3.0,8.0,2.0,13.0,0.0,0.0
sblim.csv,6.0,0.0,19.0,1.0,5.0,6.0,12.0,0.0,101.0,4.0,22.0,0.0,0.0,0.0,0.0
thedata.csv,4.0,0.0,35.0,1.0,58.0,1.0,1.0,1.0,115.0,25.0,30.0,0.0,49.0,0.0,0.0
