,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.3,0.09,0.08,0.09,0.02,0.26,0.25,0.37,0.03,0.16,0.07,0.33,0.07,0.65,0.07
e-bio-flow.csv,0.19,0.17,0.23,0.14,0.03,0.45,0.53,0.57,0.12,0.57,0.07,0.79,0.11,0.63,0.05
emono.csv,0.2,0.19,0.1,0.09,0.03,0.21,0.24,0.35,0.01,0.11,0.09,0.54,0.03,0.79,0.08
jas.csv,0.2,0.28,0.07,0.18,0.01,0.37,0.43,0.39,0.03,0.5,0.07,0.63,0.22,0.6,0.0
jbpm.csv,0.13,0.25,0.0,0.45,0.0,0.5,0.67,0.5,0.0,0.12,0.0,1.0,0.0,0.0,0.0
jgossipforum.csv,0.17,0.32,0.29,0.08,0.04,0.34,0.25,0.39,0.22,0.67,0.1,0.69,0.0,0.72,0.2
jmonkeyengine.csv,0.12,0.33,0.0,0.22,0.01,0.39,0.47,0.31,0.02,0.14,0.08,0.59,0.05,0.63,0.03
joustsim.csv,0.15,0.21,0.17,0.22,0.02,0.32,0.32,0.35,0.08,0.48,0.08,0.63,0.14,0.67,0.19
log4net.csv,0.25,0.38,0.25,0.16,0.15,0.25,0.0,0.41,0.0,0.32,0.18,0.48,0.0,0.79,0.03
ngl.csv,0.21,0.29,0.15,0.15,0.02,0.28,0.38,0.44,0.03,0.26,0.07,0.7,0.09,0.64,0.06
piccolo2d.csv,0.18,0.35,0.33,0.19,0.08,0.2,0.35,0.46,0.0,0.26,0.12,0.7,0.0,0.73,0.06
pustefix.csv,0.18,0.23,0.16,0.14,0.03,0.46,0.31,0.38,0.01,0.3,0.05,0.58,0.04,0.72,0.07
reaper3d.csv,0.14,0.4,0.05,0.06,0.02,0.16,0.2,0.38,0.03,0.33,0.14,0.69,0.15,0.72,0.33
sblim.csv,0.22,0.55,0.18,0.17,0.06,0.32,0.27,0.32,0.03,0.33,0.08,0.58,0.11,0.64,0.08
thedata.csv,0.19,0.24,0.11,0.07,0.02,0.26,0.24,0.35,0.03,0.17,0.08,0.62,0.07,0.69,0.4
