,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.37,0.82,0.72,0.72,0.62,0.94,0.96,0.63,0.69,0.53,0.42,0.18,0.76,0.36,0.89
e-bio-flow.csv,0.33,0.6,0.37,0.64,0.5,0.1,0.14,0.29,0.03,0.05,0.62,0.08,0.14,0.98,0.34
emono.csv,0.9,0.83,0.78,0.88,0.66,0.77,0.44,0.67,0.77,0.95,0.42,0.65,0.74,0.33,0.58
jas.csv,0.51,0.58,0.16,0.45,0.63,0.44,0.26,0.54,0.63,0.03,0.67,0.51,0.18,0.81,0.26
jbpm.csv,0.21,0.04,0.02,0.12,0.02,0.03,0.02,0.1,0.0,0.12,0.0,0.0,0.07,0.0,0.03
jgossipforum.csv,0.63,0.32,0.06,0.27,0.21,0.5,0.24,0.37,0.08,0.03,0.63,0.29,0.03,0.26,0.13
jmonkeyengine.csv,0.67,0.44,0.29,0.34,0.63,0.48,0.32,0.6,0.56,0.32,0.71,0.64,0.71,0.95,0.48
joustsim.csv,0.54,0.82,0.24,0.28,0.48,0.74,0.54,0.38,0.27,0.18,0.81,0.54,0.31,0.52,0.27
log4net.csv,0.43,0.1,0.29,0.18,0.13,0.15,0.1,0.42,0.01,0.28,0.14,0.25,0.15,0.17,0.47
ngl.csv,0.65,0.57,0.78,0.76,0.78,0.9,0.32,0.58,0.58,0.38,0.91,0.35,0.59,0.64,0.95
piccolo2d.csv,0.59,0.24,0.29,0.32,0.18,0.13,0.22,0.37,0.0,0.28,0.07,0.19,0.06,0.14,0.27
pustefix.csv,0.22,0.43,0.7,0.52,0.56,0.24,0.48,0.44,0.36,0.12,0.42,0.45,0.97,0.43,0.45
reaper3d.csv,0.51,0.3,0.23,0.57,0.4,0.61,0.24,0.46,0.62,0.07,0.37,0.16,0.19,0.24,0.03
sblim.csv,0.75,0.21,0.56,0.52,0.23,0.42,0.38,0.81,0.74,0.23,0.35,0.76,0.44,1.0,0.55
thedata.csv,0.79,0.76,0.79,0.76,0.88,0.73,0.44,0.83,0.7,0.57,0.76,0.46,0.56,0.52,0.1
