,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.0,0.0,0.94,0.0
google-caja.csv,0.1,0.88,0.91,0.89
itext.csv,0.0,0.93,0.87,0.85
plee-the-bear.csv,0.0,0.0,0.88,0.0
