,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.94,0.83,0.8,0.82,0.91,1.0,0.31,0.29,0.96,0.88,0.69,0.0,0.34,0.72,0.91,0.62,0.92,1.0,0.7,0.61
extprosys.csv,0.78,1.0,0.22,0.92,0.64,0.44,0.64,0.89,0.46,1.0,0.67,0.0,1.0,0.48,0.45,0.91,1.0,0.81,0.93,0.65
freewrl.csv,0.94,1.0,0.99,0.66,1.0,0.78,0.65,0.79,0.65,0.33,0.69,1.0,0.84,0.75,0.93,0.66,0.48,0.93,0.7,0.55
glas.csv,0.51,0.83,0.18,0.65,0.45,0.44,0.97,0.43,0.17,0.25,0.55,0.0,0.53,0.33,0.38,0.45,0.56,0.26,0.1,0.77
ibatisdb.csv,0.12,0.33,0.61,0.35,0.18,0.33,0.32,0.39,0.17,0.04,0.16,0.0,0.71,0.17,0.18,0.16,0.0,0.04,0.03,0.03
japano.csv,0.81,1.0,0.75,0.77,1.0,0.11,0.95,0.83,0.95,1.0,0.51,0.0,0.7,0.95,0.82,0.76,0.64,0.96,0.9,0.61
lockss.csv,0.51,0.0,0.33,0.48,0.27,0.67,0.32,0.27,0.43,0.17,0.31,0.0,0.19,0.32,0.07,0.51,0.4,0.15,0.27,0.42
officefloor.csv,0.52,0.0,0.28,0.17,0.0,0.67,0.31,0.21,0.27,0.0,0.55,1.0,0.36,0.03,0.07,0.37,0.56,0.04,0.0,0.65
opennms.csv,0.38,0.83,0.04,0.26,0.82,0.0,0.2,0.29,0.14,0.46,0.06,0.0,0.36,0.48,0.04,0.14,0.0,0.07,0.43,0.1
papertoolkit.csv,0.56,0.17,0.19,0.21,0.18,0.22,0.14,0.26,0.69,0.17,0.22,0.0,0.0,0.15,0.25,0.08,0.44,0.15,0.43,0.32
primefaces.csv,0.74,0.83,1.0,0.75,0.73,0.89,0.98,0.96,0.99,0.08,0.71,1.0,1.0,0.95,1.0,0.81,0.64,0.3,0.6,0.81
rohxel.csv,0.39,0.0,0.81,0.17,0.45,0.0,0.1,0.08,0.37,0.21,0.1,0.0,0.05,0.15,0.38,0.17,0.68,0.7,0.23,0.0
roller.csv,0.68,1.0,0.99,0.69,0.36,0.78,0.81,1.0,0.73,0.04,0.27,1.0,1.0,0.67,0.53,0.62,0.24,0.37,0.53,0.23
sevenupdate.csv,1.0,0.17,1.0,0.95,1.0,1.0,0.92,0.48,0.99,1.0,1.0,1.0,0.56,0.82,1.0,1.0,1.0,1.0,0.9,1.0
soar.csv,0.6,0.83,0.97,0.79,0.73,1.0,0.69,0.53,0.91,0.42,0.71,1.0,1.0,0.9,0.98,0.83,0.24,0.93,0.83,0.97
web-cat.csv,0.89,0.33,0.98,0.92,0.91,0.89,0.96,0.86,0.86,1.0,0.78,1.0,0.48,0.9,0.84,0.85,0.96,0.89,0.93,0.19
xcf.csv,0.67,0.33,0.43,0.47,0.64,0.67,0.44,0.4,0.65,0.46,0.63,0.0,0.35,0.15,0.55,0.69,0.92,0.11,0.33,0.77
xfce.csv,0.78,0.83,0.88,0.48,0.64,0.44,0.34,0.45,1.0,0.71,0.63,0.0,0.4,0.38,0.96,0.44,0.68,0.81,0.63,0.97
