,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.94,0.87,0.85,0.87,0.91,1.01,0.44,0.74,0.96,0.88,0.81,0.49,0.8,0.72,0.92,0.64,0.92,1.0,0.73,0.65
extprosys.csv,0.78,1.01,0.49,0.92,0.82,0.55,0.76,0.91,0.63,1.0,0.68,0.52,1.0,0.82,0.67,0.91,1.0,0.94,0.95,0.77
freewrl.csv,0.94,1.02,0.99,0.7,1.0,0.88,0.66,0.8,0.65,0.4,0.69,1.02,0.85,0.75,0.93,0.66,0.8,0.93,0.71,0.69
glas.csv,0.51,0.89,0.65,0.67,0.58,0.68,0.98,0.47,0.55,0.45,0.66,0.37,0.6,0.75,0.52,0.47,0.7,0.7,0.57,0.8
ibatisdb.csv,1.01,0.75,0.82,0.76,0.82,0.79,0.65,0.67,0.5,0.96,0.97,0.88,0.79,0.69,0.65,0.27,1.0,0.88,0.72,0.74
japano.csv,1.29,1.0,0.75,0.77,1.0,0.28,0.95,0.87,0.98,1.0,0.75,0.32,0.78,0.95,0.85,0.8,0.8,0.97,0.92,0.67
lockss.csv,0.51,0.73,0.62,0.67,0.6,0.81,0.63,0.49,0.49,0.8,0.53,0.59,0.53,0.32,0.87,0.78,0.73,0.72,0.54,0.59
officefloor.csv,0.52,0.78,0.77,0.77,0.97,0.86,0.65,0.8,0.44,1.0,0.63,1.11,0.52,1.0,0.87,0.6,0.83,0.9,0.72,0.8
opennms.csv,0.38,1.08,0.91,0.41,0.88,0.83,0.78,0.62,0.83,0.75,0.82,0.9,0.56,0.59,0.89,0.85,0.94,0.88,0.84,0.9
papertoolkit.csv,1.14,0.79,0.81,0.88,0.89,0.81,0.7,0.82,0.81,0.87,0.65,0.75,0.92,0.15,0.85,0.89,0.73,0.81,0.71,0.8
primefaces.csv,0.74,0.84,1.0,0.78,0.78,0.9,0.98,0.96,0.99,0.82,0.78,1.0,1.0,1.01,1.0,0.81,0.82,0.34,0.66,0.81
rohxel.csv,0.39,0.53,0.83,0.91,0.48,0.66,0.72,0.78,0.87,0.73,0.62,0.73,0.96,1.01,0.6,0.93,0.92,0.76,0.94,0.95
roller.csv,0.68,1.0,0.99,0.73,0.57,0.88,0.82,1.0,0.74,0.78,0.36,1.01,1.0,0.67,0.58,0.62,0.9,0.68,0.75,0.87
sevenupdate.csv,1.0,0.33,1.0,0.96,1.0,1.0,0.93,0.8,0.99,1.0,1.0,1.0,0.63,0.82,1.0,1.0,1.0,1.0,0.9,1.0
soar.csv,0.6,1.0,0.97,0.85,0.76,1.01,0.83,0.6,0.91,0.82,0.81,1.0,1.0,0.9,0.98,0.83,0.43,0.93,0.86,0.98
web-cat.csv,0.89,0.54,0.98,0.93,0.91,0.9,0.96,0.86,0.87,1.0,0.79,1.0,0.55,0.9,0.84,0.85,0.96,0.95,0.94,0.33
xcf.csv,1.21,0.66,0.63,0.63,0.69,0.8,0.58,0.68,0.67,0.57,0.64,0.36,0.63,0.68,0.57,0.69,0.93,0.86,0.38,0.78
xfce.csv,1.27,0.93,0.88,0.58,0.77,0.67,0.55,0.81,1.0,0.75,0.63,0.39,0.53,0.38,0.96,0.82,0.83,0.87,0.65,0.97
