,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.63,0.2,0.78,0.52,0.52,0.89,0.66,0.99,0.63,0.75,0.64
libtorrent.csv,0.56,0.43,0.63,0.48,0.8,0.22,0.61,0.52,0.58,0.48,0.97
mcmc-jags.csv,0.44,0.77,0.79,0.14,0.7,0.61,0.76,0.34,0.75,0.77,0.69
natpad.csv,0.26,0.43,0.97,0.4,0.58,0.28,0.51,0.6,0.46,0.39,0.39
nebuladevice.csv,0.89,0.37,0.0,0.83,0.02,0.22,0.44,0.26,0.27,0.44,0.02
olap-navigator.csv,0.04,0.27,0.1,0.24,0.17,0.0,0.34,0.37,0.31,0.34,0.03
pidgin.csv,0.26,0.5,0.34,0.05,0.33,0.22,0.39,0.69,0.24,0.49,0.3
salasaga.csv,0.59,0.5,0.9,0.33,0.47,0.67,0.46,0.27,0.45,0.52,0.45
sepgsql.csv,0.04,0.37,0.3,0.07,0.22,0.0,0.24,0.2,0.03,0.11,0.17
xstore.csv,0.59,0.4,0.99,0.1,0.75,0.17,0.27,0.54,0.45,0.51,0.8
xtreemfs.csv,0.04,0.37,0.09,0.17,0.3,0.06,0.29,0.16,0.03,0.11,0.28
