,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.43,0.91,0.52,0.27,0.46,0.66,0.52,0.93,0.47,0.31,0.37
libtorrent.csv,0.85,0.45,0.96,0.67,0.93,0.71,0.74,0.64,0.87,0.9,0.95
mcmc-jags.csv,0.64,0.68,0.85,0.87,0.85,0.75,0.96,0.64,0.67,0.92,0.93
natpad.csv,0.49,0.64,0.96,0.6,0.78,0.62,0.76,0.89,0.67,0.85,0.77
nebuladevice.csv,0.74,0.14,0.0,0.67,0.02,0.33,0.46,0.21,0.67,0.8,0.02
olap-navigator.csv,0.8,0.41,0.37,0.6,0.5,0.33,0.41,0.54,0.67,0.84,0.14
pidgin.csv,0.51,0.45,0.52,0.33,0.75,0.43,0.7,0.96,0.47,0.85,0.72
salasaga.csv,0.3,0.77,0.78,0.4,0.77,0.64,0.74,0.75,0.33,0.47,0.67
sepgsql.csv,0.52,0.41,0.81,0.27,0.62,0.31,0.52,0.43,0.07,0.75,0.47
xstore.csv,0.51,0.41,1.0,0.33,0.96,0.31,0.67,0.86,0.47,0.93,0.98
xtreemfs.csv,0.51,0.45,0.3,0.33,0.61,0.4,0.54,0.43,0.07,0.79,0.56
