,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.48,0.27,0.47,0.41,0.44,0.62,0.42,0.0,0.39,0.22,0.34
bdbbasic.csv,0.63,0.38,0.5,0.47,0.31,0.69,0.75,0.45,0.49,0.57,0.67
bibletime.csv,0.71,0.82,0.72,0.58,0.52,0.32,0.0,0.13,0.55,0.74,0.34
crux-framework.csv,0.42,0.45,0.23,0.4,0.31,0.38,0.37,0.51,0.44,0.62,0.98
etherboot.csv,0.0,0.6,0.0,0.0,0.57,0.04,0.52,0.62,0.04,0.0,0.59
gnukeda.csv,0.38,0.53,0.28,0.77,0.61,0.62,0.19,0.37,0.3,0.42,0.46
google-gears.csv,0.72,0.79,0.64,0.49,0.58,0.21,0.61,0.13,0.72,0.69,0.79
jnode.csv,0.07,0.4,0.71,0.41,0.06,0.0,0.25,0.0,0.17,0.1,0.0
openmeetings.csv,0.59,0.92,0.68,0.16,0.68,0.57,0.42,0.67,0.3,0.48,0.37
pgui.csv,0.47,0.77,0.0,0.45,0.59,0.55,0.69,0.67,0.6,0.65,0.05
wxcrp.csv,0.66,0.05,0.17,0.46,0.0,0.09,0.35,0.09,0.51,0.68,0.56
