,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.36,0.25,0.62,0.12,0.41,0.24,0.1,0.01,0.16,0.0,0.6
bdbbasic.csv,0.64,0.49,0.48,0.34,0.36,0.52,0.18,0.15,0.19,0.36,0.32
bibletime.csv,0.39,0.41,0.5,0.47,0.7,0.91,1.0,0.97,0.43,0.14,0.58
crux-framework.csv,0.59,0.28,0.07,0.62,0.16,0.86,0.65,0.68,0.46,0.64,0.09
etherboot.csv,0.0,0.07,0.0,0.0,0.31,0.0,0.14,0.31,0.0,1.0,0.78
gnukeda.csv,0.89,0.3,0.39,0.22,0.64,0.22,0.14,0.13,0.92,0.86,0.8
google-gears.csv,0.44,0.41,0.59,0.16,0.75,0.95,0.73,0.97,0.32,0.36,0.57
jnode.csv,0.04,0.34,0.2,0.41,0.11,0.09,0.16,0.04,0.22,0.07,0.18
openmeetings.csv,0.16,0.17,0.36,0.06,0.48,0.28,0.16,0.43,0.16,0.0,0.26
pgui.csv,0.45,0.53,0.0,0.25,0.69,0.61,0.59,0.28,0.38,0.64,0.99
wxcrp.csv,0.28,0.99,0.96,0.78,1.0,0.98,0.9,0.98,0.49,0.5,0.67
