,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.45,0.23,0.5,0.36,0.41,0.59,0.37,0.0,0.34,0.18,0.33
bdbbasic.csv,0.77,0.36,0.5,0.44,0.27,0.78,0.74,0.4,0.45,0.55,0.67
bibletime.csv,0.74,0.91,0.81,0.59,0.64,0.92,1.0,1.0,0.55,0.71,0.33
crux-framework.csv,0.42,0.41,0.19,0.41,0.27,0.65,0.37,0.6,0.42,0.76,1.0
etherboot.csv,0.0,0.55,0.0,0.0,0.55,0.03,0.47,0.6,0.03,0.98,1.0
gnukeda.csv,0.97,0.5,0.25,0.77,0.73,0.59,0.16,0.32,0.96,0.82,0.67
google-gears.csv,0.77,0.86,0.75,0.44,0.86,1.0,0.89,0.98,0.73,0.7,1.0
jnode.csv,0.06,0.36,0.69,0.38,0.05,0.0,0.21,0.0,0.14,0.08,0.0
openmeetings.csv,0.55,0.95,0.69,0.13,0.73,0.54,0.37,0.7,0.26,0.42,0.33
pgui.csv,0.45,0.91,0.0,0.41,0.77,0.62,0.84,0.66,0.6,0.82,1.0
wxcrp.csv,0.65,1.0,1.0,0.64,1.0,0.97,0.95,0.98,0.51,0.74,0.67
