,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.59,0.62,0.35,0.98,0.33,0.23,0.5,0.47,0.45,0.33,0.29
gabel.csv,0.0,0.0,0.05,0.0,1.0,0.0,0.08,0.02,0.0,0.0,0.03
javaprofiler.csv,0.49,0.56,0.37,0.51,0.18,0.28,0.68,0.49,0.35,0.42,1.0
jmoney.csv,1.0,0.52,0.27,0.51,0.16,0.22,0.32,0.64,0.35,0.47,0.12
mycila.csv,0.0,0.12,0.1,0.0,0.13,1.0,0.01,0.32,0.0,0.0,0.42
neodatis-odb.csv,0.48,0.59,0.99,0.39,0.26,0.11,0.54,0.38,0.36,0.45,0.61
servicestack.csv,0.33,0.67,0.52,0.39,0.18,0.32,0.58,0.57,1.0,0.32,0.71
sqlpower-library.csv,0.49,1.0,0.53,0.52,0.2,0.32,0.68,0.72,0.55,0.49,0.81
synecdoche.csv,0.29,0.46,0.16,0.54,0.32,0.27,0.45,0.46,0.13,0.95,0.22
tmva.csv,0.28,0.51,0.42,0.62,0.26,0.39,0.99,0.52,0.34,0.52,0.46
unicase.csv,0.59,0.61,0.39,0.42,0.14,0.39,0.64,0.99,0.29,0.48,0.56
