,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.55,0.53,0.39,0.96,0.75,0.34,0.39,0.37,0.46,0.28,0.22
gabel.csv,0.0,0.0,0.04,0.0,1.0,0.0,0.05,0.01,0.0,0.0,0.01
javaprofiler.csv,0.6,0.47,0.46,0.42,0.65,0.53,0.49,0.41,0.39,0.48,1.0
jmoney.csv,1.0,0.42,0.28,0.49,0.42,0.24,0.23,0.56,0.28,0.43,0.09
mycila.csv,0.0,0.09,0.06,0.0,0.15,1.0,0.01,0.25,0.0,0.0,0.33
neodatis-odb.csv,0.53,0.51,0.98,0.43,0.54,0.12,0.45,0.3,0.54,0.49,0.54
servicestack.csv,0.44,0.54,0.58,0.36,0.64,0.55,0.48,0.47,1.0,0.28,0.63
sqlpower-library.csv,0.0,1.0,0.57,0.55,0.67,0.39,0.25,0.58,0.75,0.46,0.57
synecdoche.csv,0.24,0.38,0.13,0.6,0.65,0.34,0.35,0.38,0.14,0.92,0.16
tmva.csv,0.24,0.42,0.51,0.7,0.8,0.69,0.99,0.43,0.44,0.54,0.39
unicase.csv,0.74,0.52,0.48,0.49,0.54,0.66,0.54,0.99,0.28,0.54,0.39
