,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.64,0.46,0.57,0.62,0.61,0.75,0.8,0.59,0.57,0.93,0.8
gabel.csv,0.0,0.0,0.5,0.0,0.88,0.0,0.86,0.8,0.0,0.0,0.0
javaprofiler.csv,0.52,0.45,0.41,0.4,0.47,0.39,0.44,0.55,0.65,0.45,0.48
jmoney.csv,0.5,0.45,0.53,0.59,0.48,0.75,0.77,0.41,0.83,0.61,0.8
mycila.csv,0.0,0.67,0.67,0.0,0.86,0.9,0.0,0.99,0.0,0.0,0.76
neodatis-odb.csv,0.64,0.54,0.75,0.62,0.83,0.88,0.73,0.8,0.66,0.61,0.62
servicestack.csv,0.5,0.57,0.47,0.5,0.6,0.45,0.55,0.53,0.71,0.93,0.58
sqlpower-library.csv,0.34,0.43,0.45,0.4,0.48,0.41,0.46,0.41,0.53,0.34,0.41
synecdoche.csv,0.88,0.57,0.92,0.69,0.74,0.75,0.82,0.68,0.77,0.65,0.93
tmva.csv,0.89,0.58,0.43,0.48,0.48,0.42,0.52,0.53,0.54,0.48,0.63
unicase.csv,0.38,0.5,0.48,0.43,0.45,0.5,0.46,0.44,0.91,0.42,0.54
