,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.25,0.98,0.22,0.32
columba.csv,0.68,0.24,0.47,0.94
decidr.csv,0.68,0.35,0.98,0.61
jajuk.csv,0.96,0.55,0.61,0.57
