,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.25,0.99,0.23,0.21
columba.csv,0.68,0.24,0.54,0.96
decidr.csv,0.65,0.27,0.98,0.45
jajuk.csv,0.97,0.37,0.64,0.53
