,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.95,0.02,0.98,0.95
columba.csv,0.42,0.82,0.61,0.07
decidr.csv,0.52,0.78,0.03,0.62
jajuk.csv,0.05,0.72,0.52,0.51
