,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.83,0.86,0.91,0.66
columba.csv,0.42,0.9,0.56,0.65
decidr.csv,0.43,0.66,0.46,0.47
jajuk.csv,0.46,0.43,0.45,0.55
