,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,salasaga.csv
ikvm.csv,0.89,0.05,0.82,0.91,0.83,0.78
mcmc-jags.csv,0.47,0.78,0.69,0.07,0.48,0.52
olap-navigator.csv,0.0,0.73,0.65,0.45,0.49,1.0
pidgin.csv,0.79,0.7,0.6,0.78,0.02,0.63
salasaga.csv,1.02,0.73,0.84,1.0,0.89,0.11
sepgsql.csv,0.89,0.89,0.15,0.82,0.8,1.0
