,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,salasaga.csv
ikvm.csv,0.89,0.62,0.57,0.86,0.66,0.72
mcmc-jags.csv,0.43,0.42,0.49,0.86,0.42,0.5
olap-navigator.csv,0.52,0.48,0.48,0.61,0.42,0.53
pidgin.csv,0.52,0.39,0.4,0.73,0.39,0.53
salasaga.csv,0.48,0.4,0.47,0.44,0.52,0.88
sepgsql.csv,0.92,0.9,0.96,0.91,0.96,0.0
