,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,salasaga.csv
ikvm.csv,0.25,0.98,0.06,0.17,0.49,0.23
mcmc-jags.csv,0.7,0.47,0.09,0.97,0.71,0.36
olap-navigator.csv,1.0,0.51,0.12,0.55,0.79,0.26
pidgin.csv,0.45,0.48,0.12,0.27,0.99,0.3
salasaga.csv,0.72,0.65,0.07,0.42,0.64,0.94
sepgsql.csv,0.22,0.19,0.92,0.23,0.34,0.0
