,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.72,0.44,0.83,0.77,0.09,0.81,0.54,0.52,0.02,0.71,0.21,0.97,0.0,0.05,0.79,0.44
amygdala.csv,0.44,0.21,0.74,0.0,0.31,0.14,0.15,0.33,0.4,0.37,0.47,0.14,0.83,0.43,0.05,0.37
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.19,0.11,0.02
dspace-gsoc.csv,0.26,0.82,0.55,0.47,0.46,0.33,0.54,0.89,0.98,0.54,0.42,0.19,1.0,0.29,0.32,0.85
hydrate.csv,0.31,0.52,0.89,0.73,0.43,0.91,0.41,0.59,0.37,0.17,0.63,0.69,0.0,0.19,0.37,0.69
ivef-sdk.csv,0.62,0.5,0.6,0.0,0.63,0.98,0.82,0.0,0.74,0.14,0.11,0.03,1.0,0.05,0.05,0.6
jmri.csv,0.1,0.32,0.49,0.03,0.57,0.21,0.36,0.15,0.28,0.14,0.26,0.2,0.33,0.0,0.21,0.9
kdenlive.csv,0.33,0.4,0.36,0.9,0.43,0.3,0.38,0.63,0.63,0.57,0.89,0.66,0.0,0.43,0.74,0.52
motu.csv,0.36,0.75,0.74,0.17,0.43,0.7,0.84,0.26,1.0,0.6,0.37,0.34,1.0,0.52,0.21,0.77
plplot.csv,0.41,0.41,0.32,1.0,0.51,0.25,0.57,0.46,0.44,0.37,0.79,0.73,0.33,0.24,0.68,0.63
projectfactory.csv,0.0,0.3,0.15,0.07,0.34,0.23,0.46,0.54,0.44,0.06,0.11,0.36,0.0,0.24,0.37,0.38
runuomondains.csv,0.21,0.71,0.58,0.97,0.71,0.47,0.59,0.61,1.0,0.69,0.58,0.17,0.33,0.38,0.42,0.79
somap.csv,0.97,0.76,0.81,1.0,0.83,0.81,0.92,0.98,0.79,0.94,1.0,0.93,0.0,0.95,1.0,0.83
taverna.csv,0.15,0.18,0.25,0.07,0.57,0.19,0.49,0.3,0.51,0.26,0.05,0.1,0.0,0.9,0.05,0.21
tigermud.csv,0.51,0.74,0.28,0.1,0.14,0.02,0.2,0.93,0.21,0.26,0.63,0.27,0.0,0.48,0.79,0.21
wishmaster.csv,0.23,0.31,0.4,0.07,0.09,0.25,0.26,0.02,0.35,0.23,0.11,0.1,0.5,0.0,0.05,0.65
