,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.44,0.43,0.47,0.4,0.56,0.46,0.49,0.42,0.49,0.52,0.4,0.33,0.48,0.44,0.49,0.41,0.44,0.38
decidr.csv,0.74,0.37,0.48,0.47,0.65,0.65,0.47,0.33,0.58,0.51,0.46,0.32,0.34,0.46,0.55,0.41,0.5,0.36
elmo.csv,0.94,0.8,0.5,0.83,0.9,0.8,0.67,0.5,0.97,0.92,0.96,0.67,0.86,0.0,0.93,0.5,0.86,0.95
gpac.csv,0.74,0.87,0.67,0.82,0.79,0.63,0.84,0.76,0.85,0.68,0.58,0.48,0.65,0.61,0.8,0.9,0.61,0.57
illumination.csv,0.93,0.89,0.97,0.91,0.75,0.64,0.75,0.86,0.95,0.96,0.86,0.68,0.86,0.67,0.87,0.69,0.93,0.97
img-browse-sort.csv,0.79,0.5,0.96,0.72,0.95,0.6,0.68,0.67,0.94,0.94,0.75,0.0,0.95,0.9,0.92,0.91,0.95,0.98
jajuk.csv,0.47,0.35,0.47,0.43,0.43,0.44,0.46,0.41,0.61,0.5,0.5,0.35,0.36,0.65,0.55,0.4,0.5,0.33
ktc.csv,0.48,0.7,0.54,0.61,0.7,0.64,0.58,0.49,0.65,0.62,0.75,0.68,0.62,0.64,0.72,0.53,0.7,0.47
miranda.csv,0.75,0.45,0.45,0.56,0.94,0.76,0.81,0.39,0.71,0.93,0.99,0.37,0.52,0.83,0.88,0.67,0.62,0.41
neoengine.csv,0.53,0.53,0.6,0.51,0.61,0.58,0.52,0.48,0.68,0.55,0.51,0.35,0.48,0.52,0.58,0.44,0.59,0.41
nicepress.csv,0.8,0.0,0.6,0.93,0.74,0.79,0.0,0.9,0.6,0.6,0.98,0.0,0.89,0.67,0.82,0.5,0.92,0.42
omseek.csv,0.79,0.77,0.88,0.94,0.75,0.9,0.94,0.47,0.92,0.92,0.94,0.43,0.78,0.83,0.97,0.89,0.94,0.98
rosegarden.csv,0.47,0.61,0.48,0.56,0.6,0.54,0.67,0.59,0.66,0.63,0.67,0.96,0.74,0.88,0.64,0.69,0.65,0.38
smarttag.csv,0.91,0.44,0.97,0.92,0.9,0.93,0.57,0.38,0.98,0.89,0.82,0.37,0.44,0.85,0.98,0.8,0.92,0.94
sylpheed-claws.csv,0.52,0.38,0.52,0.5,0.67,0.48,0.43,0.45,0.59,0.53,0.58,0.4,0.51,0.55,0.56,0.36,0.46,0.41
vapor.csv,0.98,0.0,0.84,0.94,0.87,0.86,0.0,0.89,0.72,0.86,0.98,0.0,0.5,0.74,0.86,0.0,0.83,0.97
zorannt.csv,0.97,0.56,0.77,0.62,0.95,0.94,0.76,0.67,0.98,0.84,0.68,0.71,0.45,0.45,0.87,0.75,0.9,0.48
zscreen.csv,0.67,0.47,0.97,0.39,0.8,0.69,0.49,0.44,0.85,0.66,0.45,0.41,0.59,0.53,0.74,0.37,0.5,0.66
