,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.25,0.78,0.24,0.31,0.43,0.84,0.25,0.11,0.45,0.74,0.59,0.47,0.62,0.41,0.1,0.27,0.21,0.92
boost-sandbox.csv,0.29,0.79,0.13,0.44,0.31,0.64,0.14,0.33,0.18,0.72,0.65,0.46,0.44,0.31,0.3,0.53,0.34,0.29
clamav.csv,0.35,0.41,0.23,0.57,0.53,0.74,0.27,0.26,0.33,0.3,0.84,0.38,0.72,0.41,0.13,0.68,0.49,0.73
co-ode-owl-plugins.csv,0.23,0.56,0.29,0.43,0.37,0.53,0.32,0.67,0.26,0.55,0.27,0.53,0.36,0.37,0.1,0.71,0.5,0.72
etherboot.csv,0.27,0.81,0.0,0.24,0.1,0.74,0.22,0.08,0.48,0.14,0.69,0.11,0.53,0.0,0.0,0.6,0.0,0.89
freebios.csv,0.3,0.55,0.2,0.28,0.3,0.41,0.06,0.4,0.32,0.66,0.8,0.78,0.33,0.31,0.13,0.57,0.49,0.62
frogatto.csv,0.21,0.65,0.17,0.59,0.53,0.68,0.21,0.15,0.41,0.64,0.83,0.43,0.57,0.41,0.1,0.68,0.39,0.94
glelite.csv,0.26,0.48,0.19,0.52,0.5,0.73,0.22,0.13,0.42,0.54,0.89,0.65,0.51,0.41,0.1,0.67,0.4,0.98
jasperreports.csv,0.3,0.72,0.12,0.5,0.47,0.68,0.22,0.11,0.42,0.8,0.78,0.54,0.46,0.36,0.46,0.31,0.14,0.77
konversation.csv,0.25,0.77,0.29,0.38,0.44,0.38,0.5,0.17,0.45,0.63,0.47,0.21,0.28,0.3,0.3,0.32,0.24,0.31
miranda-icq.csv,0.27,0.64,0.24,0.52,0.46,0.74,0.35,0.1,0.39,0.82,0.66,0.4,0.53,0.47,0.21,0.48,0.29,0.55
olap-navigator.csv,0.28,0.89,0.18,0.51,0.43,0.34,0.29,0.1,0.45,0.72,0.58,0.47,0.32,0.28,0.27,0.5,0.17,0.44
pclasses.csv,0.67,0.61,0.18,0.46,0.44,0.0,0.4,0.33,0.07,0.36,0.67,0.15,0.61,0.0,0.05,0.29,0.26,0.21
plato.csv,0.31,0.56,0.19,0.55,0.45,0.74,0.21,0.28,0.42,0.85,0.9,0.66,0.53,0.41,0.07,0.67,0.45,0.98
re2c.csv,0.16,0.5,0.92,0.38,0.27,0.38,0.08,0.51,0.24,0.38,0.39,0.56,0.36,0.24,0.02,0.66,0.52,0.52
rebecca-aiml.csv,0.09,0.57,0.34,0.48,0.48,0.23,0.27,0.17,0.41,0.5,0.84,0.33,0.33,0.33,0.14,0.73,0.76,0.7
tzod.csv,0.17,0.35,0.13,0.56,0.52,0.76,0.33,0.13,0.39,0.49,0.69,0.39,0.57,0.37,0.14,0.59,0.42,0.58
wxcrp.csv,0.34,0.69,0.19,0.54,0.55,0.0,0.26,0.32,0.42,0.83,0.77,0.5,0.37,0.33,0.09,0.45,0.3,0.96
