,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.0,5.0,2.0,14.0,2.0
nabu-library.csv,113.0,2.0,7.0,6.0,0.0
pcgen.csv,0.0,1.0,11.0,15.0,2.0
selenium.csv,0.0,0.0,2.0,12.0,31.0
tolven.csv,0.0,0.0,10.0,0.0,0.0
