,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,wheat.csv,panda3d.csv
benojt.csv,0.33,0.42,0.33,0.35,0.38,0.35,0.45
jahshaka.csv,0.57,0.6,0.49,0.77,0.51,0.62,0.56
jatlas.csv,0.34,0.72,0.38,0.4,0.64,0.88,0.97
jedit.csv,0.38,0.44,0.45,0.36,0.42,0.35,0.43
open-media-library.csv,0.41,0.82,0.5,0.42,0.55,0.6,0.44
panda3d.csv,0.47,0.62,0.46,0.38,0.5,0.5,0.58
wheat.csv,0.52,0.54,0.42,0.55,0.56,0.52,0.58
