,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.56,0.75,0.53,0.94,0.46,0.48,0.43,0.38,0.42,0.6,0.51,0.41,0.44,0.48,0.46,0.43,0.89
codepurge.csv,0.76,0.82,0.79,0.98,0.96,0.71,0.94,0.63,0.62,0.43,0.96,0.7,0.75,0.76,0.6,0.78,0.8
crisscross.csv,0.98,0.65,0.85,0.8,0.93,0.77,0.81,0.63,0.8,0.8,0.95,0.89,0.88,0.96,0.69,0.77,0.52
elvishrayrenderer.csv,0.49,0.67,0.71,0.46,0.44,0.59,0.45,0.45,0.38,0.38,0.81,0.48,0.54,0.28,0.44,0.45,0.36
gisgraphy.csv,0.99,0.0,0.88,0.77,0.98,0.67,0.93,0.66,0.86,0.62,0.5,0.9,0.72,0.94,0.73,0.99,0.73
ivataopenportal.csv,0.6,0.44,0.62,0.51,0.57,0.92,0.57,0.64,0.42,0.42,0.63,0.54,0.5,0.33,0.54,0.48,0.46
lite.csv,0.98,0.47,0.67,0.98,0.94,0.8,0.95,0.46,0.86,0.71,0.5,0.92,0.75,0.88,0.8,0.99,0.5
mb-unit.csv,0.53,0.73,0.44,0.45,0.43,0.39,0.41,0.4,0.42,0.45,0.5,0.42,0.43,0.29,0.44,0.43,0.33
nova.csv,0.45,0.69,0.53,0.47,0.58,0.45,0.47,0.47,0.36,0.37,0.57,0.4,0.56,0.36,0.44,0.45,0.41
olex2.csv,0.56,0.64,0.57,0.71,0.61,0.39,0.71,0.4,0.61,0.61,0.69,0.52,0.92,0.65,0.38,0.59,0.58
openwbem.csv,0.64,0.57,0.59,0.48,0.5,0.45,0.45,0.61,0.5,0.46,0.56,0.6,0.46,0.75,0.74,0.53,0.42
stajistics.csv,0.87,0.67,0.75,0.63,0.69,0.9,0.72,0.98,0.52,0.43,0.77,0.97,0.63,0.5,0.75,0.98,0.57
uwom.csv,0.63,0.46,0.67,0.74,0.9,0.67,0.78,0.65,0.41,0.64,0.83,0.7,0.62,0.61,0.67,0.82,0.76
xcmetadataservicestoolkit.csv,0.7,0.0,0.45,0.51,0.47,0.55,0.56,0.98,0.39,0.5,0.77,0.68,0.5,0.3,0.5,0.47,0.36
