,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.41,0.5,0.22,0.91,0.54,0.0,0.99,1.0,0.74,0.53,0.17,0.48,0.36,0.0,0.58,0.27,0.11
codepurge.csv,0.36,0.18,0.25,0.89,0.71,0.0,0.62,1.0,0.75,0.39,1.0,0.45,0.5,0.04,0.8,0.26,0.4
crisscross.csv,0.49,0.13,1.0,0.94,0.6,0.0,0.73,1.0,0.7,0.3,0.3,0.5,0.31,0.0,0.54,0.35,0.43
elvishrayrenderer.csv,0.39,0.0,0.17,0.91,0.57,0.05,0.82,1.0,0.7,0.34,0.17,0.53,0.49,0.01,1.0,0.28,0.31
gisgraphy.csv,0.49,1.0,0.25,0.8,0.41,0.0,0.79,1.0,0.5,0.19,0.0,0.6,0.32,0.0,0.8,0.42,1.0
ivataopenportal.csv,0.36,0.22,0.19,0.86,0.97,0.0,0.78,0.99,0.77,0.36,0.14,0.51,0.32,0.01,0.71,0.23,0.29
lite.csv,0.59,0.29,0.0,0.91,0.53,0.0,0.89,1.0,1.0,1.0,0.5,0.42,0.5,0.0,0.8,0.43,1.0
mb-unit.csv,0.36,0.36,0.17,1.0,0.55,0.02,0.81,1.0,0.78,0.21,0.15,0.44,0.36,0.01,0.63,0.23,0.22
nova.csv,0.45,1.0,0.27,0.89,0.47,0.02,0.84,0.99,0.7,0.29,0.19,0.53,0.47,0.02,0.72,0.27,0.35
olex2.csv,0.42,0.45,0.29,0.94,0.63,0.0,0.85,1.0,0.72,0.28,0.24,1.0,0.42,0.03,0.67,0.38,0.29
openwbem.csv,0.99,0.1,0.16,0.85,0.49,0.03,0.76,1.0,0.8,0.24,0.14,0.44,0.3,0.04,0.68,0.2,0.35
stajistics.csv,0.33,0.22,0.07,0.95,0.56,0.1,0.86,1.0,0.63,0.43,0.17,0.26,1.0,0.0,0.81,0.18,0.35
uwom.csv,0.47,0.24,0.33,0.85,0.46,0.0,0.89,1.0,0.68,0.29,0.17,0.43,0.31,0.03,0.75,0.98,0.47
xcmetadataservicestoolkit.csv,0.45,0.0,0.17,0.91,0.54,0.0,0.85,1.0,0.98,0.27,0.18,0.43,0.35,0.01,0.73,0.17,0.19
