,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.64,0.85,0.6,0.81,0.68,1.15,0.03,0.34,0.68,0.5,0.63,0.7,0.61,1.13,0.83,0.64,0.97
codepurge.csv,0.78,0.87,0.7,0.92,0.85,1.03,0.93,0.64,0.75,0.53,0.04,0.77,0.93,0.23,0.57,0.73,0.91
crisscross.csv,0.86,0.89,0.05,0.79,0.92,1.02,0.86,0.62,0.85,0.82,0.76,0.79,0.85,1.02,0.86,0.67,0.61
elvishrayrenderer.csv,0.78,1.0,0.72,0.55,0.63,0.36,0.66,0.44,0.81,0.58,0.75,0.59,0.45,0.92,0.06,0.6,0.73
gisgraphy.csv,0.81,0.92,0.91,0.82,0.86,1.0,0.83,0.7,0.95,0.84,1.0,0.9,0.69,1.01,0.67,0.65,0.0
ivataopenportal.csv,0.73,0.98,0.71,0.73,0.04,1.02,0.71,1.12,0.61,0.58,0.71,0.63,0.69,0.8,0.63,0.76,0.76
lite.csv,0.87,0.63,1.0,0.91,0.92,1.0,0.86,0.59,0.82,0.07,0.96,0.92,0.93,1.0,0.88,0.84,0.91
mb-unit.csv,0.87,0.71,0.91,0.01,0.71,0.76,0.79,0.13,0.61,0.83,0.72,0.8,0.62,0.97,0.91,0.75,0.99
nova.csv,0.57,0.0,0.5,0.63,0.78,0.66,0.61,1.03,0.9,0.71,0.6,0.62,0.51,0.63,0.61,0.63,0.65
olex2.csv,0.63,0.63,0.65,0.76,0.72,1.11,0.77,0.53,0.75,0.74,0.72,0.0,0.84,0.35,0.69,0.54,0.77
openwbem.csv,0.09,1.07,0.77,0.92,0.79,0.63,0.95,0.62,0.57,0.79,0.72,0.73,0.97,0.26,0.7,0.8,0.68
stajistics.csv,0.81,0.76,0.98,0.76,0.78,0.15,0.8,0.76,0.88,0.5,0.69,0.93,0.0,1.1,0.64,0.87,0.71
uwom.csv,0.66,0.87,0.95,0.79,0.79,1.0,0.8,0.67,0.92,0.77,0.96,0.79,0.7,0.31,0.75,0.06,0.66
xcmetadataservicestoolkit.csv,0.6,1.0,1.0,0.53,0.69,1.06,0.56,0.71,0.07,0.71,0.64,0.77,0.65,0.93,0.59,0.86,0.99
