,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,0.03,0.42,0.16,0.29,0.22,0.45,0.28
freebios.csv,0.3,0.46,0.0,0.33,0.62,0.25,0.61
k3b.csv,0.47,0.44,0.33,0.0,0.31,0.51,0.41
loki-lib.csv,0.6,0.48,0.76,0.58,0.22,0.55,0.02
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quarkplusplus.csv,0.0,0.19,0.14,0.17,0.03,0.39,0.22
tzod.csv,0.4,0.0,0.22,0.33,0.19,0.37,0.48
