,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,0.99,0.75,0.38,0.45,0.29,0.86,0.32
freebios.csv,0.27,0.25,0.98,0.28,0.47,0.23,0.32
k3b.csv,0.64,0.58,0.5,0.98,0.56,0.83,0.61
loki-lib.csv,0.57,0.65,0.48,0.59,0.33,0.8,0.91
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0
quarkplusplus.csv,0.28,0.3,0.19,0.33,0.96,0.75,0.42
tzod.csv,0.58,0.97,0.28,0.42,0.29,0.89,0.49
