,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.2,0.53,0.27,0.27,0.71,0.44,0.4,0.42,0.0,0.55,0.02
elateportal.csv,0.55,0.35,0.37,0.44,0.45,0.4,0.62,0.3,0.0,0.4,0.96
etics.csv,0.29,0.32,0.84,0.4,0.46,0.0,0.11,0.38,0.01,0.23,0.06
lockss.csv,0.47,0.63,0.57,0.63,0.56,0.6,0.45,0.63,0.65,0.6,0.17
pcgen.csv,0.5,0.0,0.0,0.71,0.0,0.48,0.05,0.46,0.0,0.0,0.0
personalaccess.csv,0.29,0.45,0.59,0.73,0.4,0.66,0.35,0.81,0.49,0.43,0.27
pydev.csv,0.54,0.44,0.82,0.43,0.7,0.47,0.44,0.63,0.01,0.69,0.06
rhex.csv,0.81,0.51,0.0,0.45,0.17,0.52,0.35,0.51,0.73,0.46,0.02
stuproa-cims.csv,0.2,0.16,0.27,0.69,0.47,0.41,0.62,0.29,0.54,0.56,0.09
uclmda.csv,0.2,0.1,0.1,0.09,0.0,0.0,0.06,0.09,0.99,0.04,0.09
wgs-assembler.csv,0.52,0.54,0.49,0.72,0.73,0.73,0.35,0.72,0.47,0.35,0.48
