,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.1,0.44,0.22,0.27,0.44,0.26,0.26,0.53,0.0,0.45,0.04
elateportal.csv,0.23,0.33,0.22,0.47,0.25,0.29,0.45,0.39,0.98,0.39,0.98
etics.csv,0.26,0.34,0.67,0.48,0.28,0.0,0.16,0.49,0.02,0.27,0.09
lockss.csv,0.32,0.52,0.45,0.63,0.3,0.39,0.31,0.73,0.78,0.51,0.24
pcgen.csv,0.23,0.53,0.33,0.68,0.29,0.3,0.41,0.57,0.98,0.51,0.94
personalaccess.csv,0.29,0.45,0.58,0.66,0.31,0.4,0.29,0.88,0.62,0.5,0.37
pydev.csv,0.32,0.47,0.61,0.49,0.36,0.28,0.38,0.75,0.02,0.62,0.09
rhex.csv,0.47,0.46,0.0,0.43,0.13,0.32,0.32,0.64,0.82,0.42,0.04
stuproa-cims.csv,0.25,0.2,0.32,0.63,0.36,0.34,0.59,0.4,0.67,0.47,0.13
uclmda.csv,0.16,0.13,0.08,0.12,0.0,0.0,0.09,0.12,1.0,0.04,0.12
wgs-assembler.csv,0.24,0.52,0.36,0.67,0.41,0.42,0.32,0.85,0.67,0.53,0.59
