,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.43,0.65,0.41,0.48,0.47,0.48,0.55,0.6,0.53,0.67,0.41,0.46,0.62,0.62,0.42,0.43,0.51
enzo.csv,0.48,0.63,0.63,0.85,0.88,0.56,0.86,0.65,0.26,0.93,0.97,0.7,0.93,0.9,0.79,0.84,0.71
hydrogen.csv,1.0,1.0,1.0,1.0,1.0,0.26,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51
keyczar.csv,0.45,0.96,0.93,0.85,0.87,1.0,0.93,1.0,0.9,1.0,0.87,1.0,0.38,0.94,0.83,0.89,0.94
lphant.csv,0.42,0.6,0.49,0.54,0.63,0.42,0.53,0.64,0.48,0.65,0.45,0.6,0.6,0.68,0.61,0.49,0.51
lsb.csv,0.3,0.75,0.64,0.6,0.68,0.69,0.5,0.68,0.41,0.54,0.56,0.76,0.66,0.58,0.67,0.72,0.8
maya-work-in-progress.csv,0.59,0.64,0.57,0.29,0.56,0.57,0.75,0.79,0.87,0.66,0.51,0.54,0.5,0.59,0.58,0.68,0.58
mcore3d.csv,0.94,0.57,0.49,0.51,0.9,0.69,0.9,0.98,0.87,0.74,0.61,0.53,0.68,0.87,0.59,0.32,0.68
mscore.csv,0.85,0.76,0.73,0.32,0.42,0.65,0.67,0.79,0.94,0.7,0.68,0.66,0.77,0.53,0.54,0.47,0.5
natpad.csv,0.71,0.64,0.54,0.81,0.66,0.44,0.51,0.78,0.92,0.61,0.78,0.56,0.77,0.42,0.76,0.44,0.4
rocrail.csv,0.91,0.61,0.5,0.69,0.47,0.4,0.65,0.61,0.48,0.75,0.52,0.64,0.79,0.75,0.48,0.2,0.4
salasaga.csv,0.89,0.68,0.69,0.6,0.51,0.46,0.56,0.81,0.98,0.64,0.48,0.4,0.94,0.46,0.74,0.52,0.52
virtuoso.csv,1.0,1.0,0.96,1.0,0.8,0.93,0.94,0.56,1.0,0.77,0.97,1.0,0.82,0.92,0.9,0.95,0.91
xemeiah.csv,0.58,0.6,0.5,0.69,0.62,0.46,0.35,0.75,0.87,0.68,0.63,0.54,0.5,0.46,0.6,0.43,0.45
xined.csv,1.0,1.0,1.0,0.76,1.0,1.0,1.0,1.0,1.0,0.36,1.0,1.0,0.92,1.0,1.0,1.0,1.0
xtreemfs.csv,1.0,0.68,0.56,0.66,0.53,0.71,0.7,0.73,0.76,0.79,0.81,0.65,0.95,0.27,0.64,0.58,0.5
yield.csv,0.85,0.75,0.34,0.38,0.45,0.61,0.58,0.64,0.63,0.86,0.56,0.56,0.55,0.91,0.55,0.6,0.48
