,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,99.0,198.0,91.5,195.0,95.5,99.0,196.0,291.0,184.5,295.0,285.0,96.5,197.5,642.5,98.5,874.5
customsagetv.csv,83.5,182.0,0.0,88.5,98.5,97.5,97.5,94.5,82.5,98.5,261.5,75.5,98.5,154.0,98.5,79.5
fluidium.csv,80.5,18.5,0.0,365.5,94.5,193.0,0.0,75.5,183.0,48.5,0.0,0.0,94.5,455.5,121.0,165.0
guineu.csv,97.5,99.0,0.0,124.0,98.5,287.5,97.5,390.0,494.0,98.5,288.0,96.5,92.5,197.0,98.5,79.5
inkscape.csv,97.5,198.0,98.5,195.0,97.5,99.0,196.0,390.0,494.0,196.5,189.0,196.5,197.5,197.0,98.5,1623.5
mpqc.csv,194.0,1289.5,98.5,66.5,1451.5,387.0,95.5,364.0,1621.0,1070.5,194.5,339.5,197.5,197.0,258.5,1156.0
nsis.csv,99.0,197.5,98.5,96.5,98.5,99.0,196.0,387.0,633.5,197.5,194.5,97.5,197.5,375.0,98.5,265.5
octave.csv,97.5,98.5,98.5,193.0,470.0,99.0,179.0,94.5,494.0,445.5,191.5,96.5,341.5,457.5,98.5,624.5
owfs.csv,97.5,198.0,98.5,96.5,97.5,99.0,195.0,192.0,296.0,393.5,192.0,196.5,98.5,197.0,98.5,1621.5
owlib.csv,99.0,584.5,95.5,195.0,98.5,97.5,196.0,94.5,552.0,98.5,192.0,75.5,96.5,232.5,95.5,1082.5
pamguard.csv,99.0,1069.5,98.5,193.0,97.5,99.0,97.5,291.0,85.5,98.5,186.0,196.5,195.5,73.5,193.0,1165.0
prelude.csv,97.5,198.0,98.5,195.0,98.5,99.0,196.0,390.0,494.0,197.5,291.0,96.5,197.5,268.5,98.5,1053.0
robocode.csv,97.5,99.0,0.0,181.0,98.5,196.0,97.5,193.5,564.5,98.5,192.0,92.5,197.5,232.5,98.5,788.5
uwom-server.csv,99.0,485.0,0.0,300.5,98.5,190.0,95.5,292.5,494.0,196.5,92.5,92.5,190.0,232.5,98.5,624.5
zengine.csv,99.0,296.5,98.5,195.0,98.5,99.0,196.0,390.0,1301.5,197.5,291.0,97.5,197.5,777.5,98.5,1087.0
zildo.csv,97.5,198.0,98.5,195.0,97.5,97.5,97.5,189.0,85.5,98.5,288.0,97.5,98.5,241.5,98.5,544.0
