,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.75,0.74,0.28,0.48
jlinalg.csv,0.88,0.68,0.28,0.66
qmmp.csv,0.82,0.64,0.35,0.74
yale.csv,0.35,0.45,0.31,0.44
