,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.91,0.94,0.89,0.93,0.85,0.55,0.68,0.84,0.47,0.87,0.97,0.5,0.81,0.78,0.61,0.4
chaosrts.csv,0.3,0.41,0.47,0.42,0.55,0.38,0.38,0.41,0.35,0.36,0.47,0.46,0.37,0.54,0.4,0.35
dxengine.csv,0.58,0.9,0.5,0.65,0.62,0.74,0.98,0.93,0.91,0.85,0.81,0.89,0.94,0.83,0.54,0.86
e-bio-flow.csv,0.86,0.74,0.89,0.63,0.95,0.55,0.77,0.76,0.83,0.62,0.97,0.86,0.92,0.0,0.81,0.5
jbpm.csv,0.6,0.87,0.94,0.72,0.89,0.82,0.98,0.97,0.9,0.82,0.99,0.92,0.72,0.0,0.6,0.74
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
jmoney.csv,0.48,0.88,0.9,0.65,0.94,0.72,0.63,0.88,0.46,0.57,0.98,0.46,0.71,0.83,0.51,0.44
jmonkeyengine.csv,0.68,0.65,0.45,0.73,0.54,0.81,0.7,0.68,0.78,0.79,0.47,0.92,0.61,0.65,0.79,0.48
joustsim.csv,0.88,0.61,0.41,0.67,0.89,0.93,0.85,0.59,0.44,0.57,0.56,0.82,0.63,0.8,0.84,0.72
jsidplay2.csv,0.33,0.43,0.47,0.41,0.53,0.41,0.42,0.46,0.4,0.42,0.59,0.48,0.45,0.46,0.42,0.42
log4net.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.67,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0
piccolo2d.csv,0.86,0.83,0.0,0.0,0.0,0.92,0.97,0.8,0.5,0.8,0.0,0.8,0.0,0.5,0.5,0.0
reaper3d.csv,0.81,0.82,0.0,0.81,0.96,0.94,0.99,0.88,0.92,0.91,0.0,0.91,0.86,0.5,0.92,0.0
sblim.csv,0.75,0.92,0.75,0.83,0.82,0.8,0.83,0.92,0.67,0.8,0.5,0.5,0.0,0.0,0.75,0.73
thedata.csv,0.86,0.83,0.88,0.85,0.92,0.84,0.81,0.76,0.86,0.69,0.89,0.88,0.83,0.86,0.85,0.75
tmva.csv,0.5,0.42,0.46,0.5,0.53,0.41,0.42,0.48,0.4,0.41,0.52,0.52,0.39,0.64,0.39,0.37
