,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.41,0.46,0.53,0.55,0.5,0.62,0.48,0.6,0.79,0.67,0.55,0.42,0.46,0.62,0.54,0.54,0.45,0.88
cornerstone.csv,0.52,0.46,0.64,0.62,0.75,0.65,0.41,0.46,0.68,0.78,0.47,0.48,0.58,0.54,0.78,0.86,0.42,0.42
emeraldemu.csv,0.63,0.6,0.72,0.57,0.86,0.83,0.67,0.62,0.71,0.47,0.43,0.89,0.46,0.53,0.55,0.35,0.53,0.67
grafx2.csv,0.5,0.59,0.63,0.69,0.74,0.81,0.5,0.66,0.77,0.65,0.46,0.59,0.54,0.45,0.55,0.41,0.55,0.64
jahshakafx.csv,0.5,0.77,0.93,0.77,0.7,0.96,0.62,0.82,0.94,0.86,0.75,0.67,0.78,0.75,0.71,0.44,0.69,0.75
kindb.csv,0.37,0.39,0.47,0.41,0.46,0.51,0.37,0.42,0.44,0.48,0.36,0.41,0.48,0.41,0.34,0.34,0.39,0.41
maya-work-in-progress.csv,0.51,0.5,0.41,0.46,0.5,0.42,0.32,0.46,0.46,0.5,0.4,0.71,0.43,0.57,0.36,0.6,0.36,0.49
netatalk.csv,0.64,0.49,0.66,0.66,0.89,0.96,0.5,0.63,0.65,0.6,0.49,0.72,0.55,0.5,0.51,0.37,0.59,0.71
novembre.csv,0.57,0.47,0.73,0.74,0.5,0.93,0.71,0.62,0.96,0.86,0.71,0.8,0.6,0.48,0.61,0.42,0.48,0.69
ns-3.csv,0.5,0.56,0.49,0.6,0.57,0.48,0.36,0.44,0.54,0.64,0.49,0.41,0.39,0.55,0.49,0.33,0.4,0.35
nullc.csv,0.58,0.57,0.46,0.6,0.46,0.43,0.37,0.47,0.43,0.51,0.52,0.45,0.37,0.64,0.44,0.46,0.42,0.4
open-beos.csv,0.52,0.56,0.49,0.58,0.53,0.49,0.33,0.44,0.58,0.56,0.49,0.52,0.38,0.61,0.4,0.82,0.4,0.69
planeshift.csv,0.44,0.44,0.6,0.76,0.44,0.65,0.38,0.56,0.44,0.94,0.5,0.57,0.38,0.44,0.67,0.52,0.42,0.52
plee-the-bear.csv,0.73,0.88,0.97,0.8,0.66,0.53,0.56,0.58,0.56,0.51,0.46,0.45,0.53,0.69,0.62,0.58,0.78,0.5
reaper-ecad.csv,0.65,0.75,0.55,0.96,0.93,0.63,0.83,0.66,0.99,0.53,0.46,0.89,0.58,0.73,0.62,0.94,0.61,0.92
sbml.csv,0.44,0.46,0.47,0.56,0.5,0.42,0.34,0.37,0.4,0.59,0.68,0.38,0.34,0.4,0.4,0.34,0.41,0.46
unimrcp.csv,0.52,0.87,0.98,0.85,0.56,0.96,0.53,0.79,0.98,0.89,0.59,0.63,0.97,0.53,0.69,0.75,0.55,0.75
unladen-swallow.csv,0.89,1.0,0.99,0.5,0.93,0.78,0.83,0.98,0.97,0.8,0.49,0.69,0.53,0.8,0.58,0.83,0.9,0.75
