,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.23,0.66,0.31,0.72,0.36,0.22,0.35,0.75,0.13,0.83
geotools.csv,0.22,0.74,0.35,0.57,0.48,0.42,0.5,0.77,0.35,0.7
gephex.csv,0.13,0.72,0.27,0.88,0.41,0.49,0.46,0.74,0.63,0.68
haggle.csv,0.0,0.68,0.42,0.1,0.22,0.41,0.35,0.55,0.26,0.14
java-gnome.csv,0.17,0.53,0.33,0.88,0.32,0.42,0.44,0.5,0.48,0.68
jgnash.csv,0.15,0.54,0.49,0.66,0.37,0.44,0.4,0.54,0.38,0.67
jrdf.csv,0.1,0.25,0.21,0.86,0.46,0.54,0.36,0.15,0.61,0.38
mpqc.csv,0.42,0.29,0.06,0.24,0.29,0.05,0.17,0.44,0.6,0.55
panda3d.csv,0.28,0.56,0.22,0.38,0.53,0.26,0.34,0.57,0.53,0.34
tencompetence.csv,0.3,0.35,0.25,0.75,0.4,0.29,0.29,0.15,0.82,0.17
