,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.16,0.65,0.23,0.79,0.27,0.19,0.42,0.64,0.67,0.85
geotools.csv,0.13,0.68,0.22,0.74,0.35,0.35,0.45,0.66,0.49,0.72
gephex.csv,0.12,0.63,0.16,0.78,0.29,0.33,0.33,0.77,0.62,0.64
haggle.csv,0.0,0.74,0.41,1.0,0.28,0.37,0.41,0.59,0.56,1.0
java-gnome.csv,0.13,0.62,0.28,0.96,0.27,0.35,0.34,0.68,0.59,0.65
jgnash.csv,0.11,0.73,0.38,0.88,0.38,0.35,0.36,0.58,0.52,0.67
jrdf.csv,0.09,0.45,0.13,0.81,0.43,0.42,0.29,0.75,0.76,0.48
mpqc.csv,0.31,0.61,0.05,0.73,0.29,0.04,0.15,0.57,0.67,0.65
panda3d.csv,0.18,0.67,0.18,0.88,0.46,0.19,0.26,0.61,0.65,0.62
tencompetence.csv,0.24,0.5,0.16,0.82,0.33,0.18,0.21,0.55,0.83,0.27
