,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.43,0.57,0.51,0.58,0.49,0.31,0.33,0.35,0.09,0.79
geotools.csv,0.49,0.62,0.75,0.46,0.62,0.56,0.6,0.46,0.31,0.64
gephex.csv,0.18,0.34,0.59,0.0,0.48,0.81,0.63,0.68,0.52,0.49
haggle.csv,0.0,0.62,0.49,0.06,0.22,0.51,0.35,0.48,0.2,0.1
java-gnome.csv,0.29,0.47,0.45,0.82,0.41,0.56,0.61,0.43,0.42,0.55
jgnash.csv,0.28,0.47,0.7,0.56,0.39,0.62,0.49,0.47,0.33,0.58
jrdf.csv,0.12,0.21,0.49,0.6,0.53,0.73,0.48,0.1,0.54,0.32
mpqc.csv,0.66,0.22,0.1,0.17,0.33,0.09,0.22,0.39,0.54,0.48
panda3d.csv,0.58,0.5,0.32,0.29,0.63,0.42,0.48,0.51,0.47,0.27
tencompetence.csv,0.44,0.3,0.55,0.63,0.51,0.26,0.42,0.1,0.79,0.14
