,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.67,0.56,0.69,0.62,0.54,0.41,0.57,0.54,0.34,0.54,0.55
bscwweasel.csv,0.67,0.88,0.6,0.64,0.48,0.59,0.58,0.44,0.8,0.57,0.51
capcode.csv,0.5,0.46,0.5,0.55,0.67,0.67,0.78,0.86,0.35,0.49,0.62
lamp.csv,0.28,0.61,0.73,0.44,0.33,0.36,0.38,0.52,0.37,0.36,0.47
nodal.csv,0.0,0.7,0.53,0.5,0.42,0.47,0.88,0.77,0.64,0.35,0.41
pydev.csv,0.37,0.63,0.75,0.49,0.39,0.46,0.83,0.42,0.66,0.49,0.5
retromenu.csv,0.5,0.56,0.94,0.85,0.38,0.55,0.38,0.65,0.48,0.88,0.56
smbopensoft.csv,0.4,0.39,0.48,0.64,0.43,0.67,0.5,0.73,0.8,0.48,0.51
stuproa-cims.csv,0.0,0.67,0.59,0.59,0.38,0.92,0.75,0.71,0.42,0.41,0.45
thout.csv,0.75,0.42,0.56,0.64,0.38,0.36,0.38,0.36,0.32,0.41,0.43
uface.csv,0.27,0.4,0.46,0.44,0.31,0.36,0.38,0.41,0.41,0.48,0.36
